row_type,seed,metric,checkpoint_label,words_seen,delta,log_exposure_auc,late_fresh_50_90m_mean_delta
point,1337,overall_blimp,10M,10050807,-0.38000000000000256,,
point,1337,overall_blimp,20M,19917876,1.519999999999996,,
point,1337,overall_blimp,30M,29980340,1.3300000000000054,,
point,1337,overall_blimp,40M,40043320,1.3700000000000045,,
point,1337,overall_blimp,50M,50093276,1.210000000000008,,
point,1337,overall_blimp,60M,59951092,1.1400000000000006,,
point,1337,overall_blimp,70M,70005835,1.769999999999996,,
point,1337,overall_blimp,80M,80073013,0.9599999999999937,,
point,1337,overall_blimp,90M,89937046,1.3199999999999932,,
aggregate,1337,overall_blimp,10M-90M,,,1.0972930749622407,1.2799999999999983
point,1337,filler_gap_dependency,10M,10050807,-1.0,,
point,1337,filler_gap_dependency,20M,19917876,-1.6599999999999966,,
point,1337,filler_gap_dependency,30M,29980340,-0.6799999999999997,,
point,1337,filler_gap_dependency,40M,40043320,1.5700000000000074,,
point,1337,filler_gap_dependency,50M,50093276,2.739999999999995,,
point,1337,filler_gap_dependency,60M,59951092,1.4399999999999977,,
point,1337,filler_gap_dependency,70M,70005835,1.6499999999999915,,
point,1337,filler_gap_dependency,80M,80073013,0.3500000000000085,,
point,1337,filler_gap_dependency,90M,89937046,1.6699999999999875,,
aggregate,1337,filler_gap_dependency,10M-90M,,,0.04103785850068479,1.569999999999996
point,1337,dev_nll,10M,10050807,0.020677260142136333,,
point,1337,dev_nll,20M,19917876,0.06866456456231518,,
point,1337,dev_nll,30M,29980340,0.10058113928911983,,
point,1337,dev_nll,40M,40043320,0.0787048618561963,,
point,1337,dev_nll,50M,50093276,0.08274432140349397,,
point,1337,dev_nll,60M,59951092,0.08878773942584495,,
point,1337,dev_nll,70M,70005835,0.08061863239286549,,
point,1337,dev_nll,80M,80073013,0.07448068112906947,,
point,1337,dev_nll,90M,89937046,0.07113810020591016,,
aggregate,1337,dev_nll,10M-90M,,,0.07145781070978591,0.0795538949114368
point,1338,overall_blimp,10M,10056832,-1.0799999999999983,,
point,1338,overall_blimp,20M,19920730,0.23999999999999488,,
point,1338,overall_blimp,30M,29971342,0.1700000000000017,,
point,1338,overall_blimp,40M,40021792,1.1300000000000097,,
point,1338,overall_blimp,50M,50072524,1.2199999999999989,,
point,1338,overall_blimp,60M,59949741,1.7999999999999972,,
point,1338,overall_blimp,70M,70003029,0.8200000000000074,,
point,1338,overall_blimp,80M,80064717,1.2999999999999972,,
point,1338,overall_blimp,90M,89936621,1.7999999999999972,,
aggregate,1338,overall_blimp,10M-90M,,,0.4771687729185348,1.3879999999999995
point,1338,filler_gap_dependency,10M,10056832,-0.10999999999999943,,
point,1338,filler_gap_dependency,20M,19920730,0.35999999999999943,,
point,1338,filler_gap_dependency,30M,29971342,0.46000000000000796,,
point,1338,filler_gap_dependency,40M,40021792,2.0400000000000063,,
point,1338,filler_gap_dependency,50M,50072524,2.539999999999992,,
point,1338,filler_gap_dependency,60M,59949741,1.2199999999999989,,
point,1338,filler_gap_dependency,70M,70003029,1.2800000000000011,,
point,1338,filler_gap_dependency,80M,80064717,1.1200000000000045,,
point,1338,filler_gap_dependency,90M,89936621,2.730000000000004,,
aggregate,1338,filler_gap_dependency,10M-90M,,,0.9332868372112272,1.778
point,1338,dev_nll,10M,10056832,0.00717451746680009,,
point,1338,dev_nll,20M,19920730,0.0933332092101038,,
point,1338,dev_nll,30M,29971342,0.08974533610238122,,
point,1338,dev_nll,40M,40021792,0.09318129907196049,,
point,1338,dev_nll,50M,50072524,0.07612602229757659,,
point,1338,dev_nll,60M,59949741,0.0809248436788863,,
point,1338,dev_nll,70M,70003029,0.08144146185538759,,
point,1338,dev_nll,80M,80064717,0.0773719266023618,,
point,1338,dev_nll,90M,89936621,0.07365416867559471,,
aggregate,1338,dev_nll,10M-90M,,,0.07454826060954187,0.0779036846219614
point,1339,overall_blimp,10M,10058596,0.37000000000000455,,
point,1339,overall_blimp,20M,19925234,1.0,,
point,1339,overall_blimp,30M,29987447,2.3200000000000003,,
point,1339,overall_blimp,40M,40043749,0.7800000000000011,,
point,1339,overall_blimp,50M,49910741,-0.4399999999999977,,
point,1339,overall_blimp,60M,59964207,1.1600000000000108,,
point,1339,overall_blimp,70M,70018950,0.45000000000000284,,
point,1339,overall_blimp,80M,80075588,2.0799999999999983,,
point,1339,overall_blimp,90M,89939170,1.8599999999999994,,
aggregate,1339,overall_blimp,10M-90M,,,1.0142808783557724,1.0220000000000027
point,1339,filler_gap_dependency,10M,10058596,0.8500000000000014,,
point,1339,filler_gap_dependency,20M,19925234,1.5,,
point,1339,filler_gap_dependency,30M,29987447,1.5,,
point,1339,filler_gap_dependency,40M,40043749,1.009999999999991,,
point,1339,filler_gap_dependency,50M,49910741,2.769999999999996,,
point,1339,filler_gap_dependency,60M,59964207,0.14000000000000057,,
point,1339,filler_gap_dependency,70M,70018950,1.440000000000012,,
point,1339,filler_gap_dependency,80M,80075588,1.0,,
point,1339,filler_gap_dependency,90M,89939170,1.509999999999991,,
aggregate,1339,filler_gap_dependency,10M-90M,,,1.3213066677528595,1.3719999999999999
point,1339,dev_nll,10M,10058596,0.020136193634280097,,
point,1339,dev_nll,20M,19925234,0.06543567081328394,,
point,1339,dev_nll,30M,29987447,0.09294261320774311,,
point,1339,dev_nll,40M,40043749,0.07739747087511617,,
point,1339,dev_nll,50M,49910741,0.07710441327209594,,
point,1339,dev_nll,60M,59964207,0.07780878220462428,,
point,1339,dev_nll,70M,70018950,0.08320262974148074,,
point,1339,dev_nll,80M,80075588,0.07920850797068768,,
point,1339,dev_nll,90M,89939170,0.07984749167294725,,
aggregate,1339,dev_nll,10M-90M,,,0.06851454421883471,0.07943436497236718
