training_seed,mask_seed,term,unmasked_accuracy,nonrecent_masked_accuracy,random_masked_accuracy,baseline_accuracy,raw_nonrecent_cost_pp,random_deletion_cost_pp,nonrecent_excess_cost_pp,attnres_relative_gain_pp,absolute_ability_pp
1337,20260718,anaphor_agreement,87.28,63.46,66.04,89.06,23.82,21.239999999999995,2.5800000000000054,-1.7800000000000011,37.28
1337,20260719,anaphor_agreement,87.28,63.46,72.03,89.06,23.82,15.25,8.57,-1.7800000000000011,37.28
1337,20260720,anaphor_agreement,87.28,63.46,63.83,89.06,23.82,23.450000000000003,0.36999999999999744,-1.7800000000000011,37.28
1337,20260721,anaphor_agreement,87.28,63.46,61.93,89.06,23.82,25.35,-1.5300000000000011,-1.7800000000000011,37.28
1337,20260722,anaphor_agreement,87.28,63.46,68.51,89.06,23.82,18.769999999999996,5.050000000000004,-1.7800000000000011,37.28
1337,20260718,argument_structure,67.84,57.11,60.03,67.06,10.730000000000004,7.810000000000002,2.9200000000000017,0.7800000000000011,17.840000000000003
1337,20260719,argument_structure,67.84,57.11,58.98,67.06,10.730000000000004,8.860000000000007,1.8699999999999974,0.7800000000000011,17.840000000000003
1337,20260720,argument_structure,67.84,57.11,58.68,67.06,10.730000000000004,9.160000000000004,1.5700000000000003,0.7800000000000011,17.840000000000003
1337,20260721,argument_structure,67.84,57.11,60.16,67.06,10.730000000000004,7.680000000000007,3.049999999999997,0.7800000000000011,17.840000000000003
1337,20260722,argument_structure,67.84,57.11,61.02,67.06,10.730000000000004,6.82,3.9100000000000037,0.7800000000000011,17.840000000000003
1337,20260718,binding,66.11,60.84,59.71,68.49,5.269999999999996,6.399999999999999,-1.1300000000000026,-2.3799999999999955,16.11
1337,20260719,binding,66.11,60.84,59.72,68.49,5.269999999999996,6.390000000000001,-1.1200000000000045,-2.3799999999999955,16.11
1337,20260720,binding,66.11,60.84,60.88,68.49,5.269999999999996,5.229999999999997,0.03999999999999915,-2.3799999999999955,16.11
1337,20260721,binding,66.11,60.84,60.78,68.49,5.269999999999996,5.329999999999998,-0.060000000000002274,-2.3799999999999955,16.11
1337,20260722,binding,66.11,60.84,61.34,68.49,5.269999999999996,4.769999999999996,0.5,-2.3799999999999955,16.11
1337,20260718,control_raising,64.18,54.62,56.7,62.11,9.56000000000001,7.480000000000004,2.0800000000000054,2.0700000000000074,14.180000000000007
1337,20260719,control_raising,64.18,54.62,57.0,62.11,9.56000000000001,7.180000000000007,2.3800000000000026,2.0700000000000074,14.180000000000007
1337,20260720,control_raising,64.18,54.62,55.67,62.11,9.56000000000001,8.510000000000005,1.0500000000000043,2.0700000000000074,14.180000000000007
1337,20260721,control_raising,64.18,54.62,56.38,62.11,9.56000000000001,7.800000000000004,1.7600000000000051,2.0700000000000074,14.180000000000007
1337,20260722,control_raising,64.18,54.62,57.21,62.11,9.56000000000001,6.970000000000006,2.5900000000000034,2.0700000000000074,14.180000000000007
1337,20260718,determiner_noun_agreement,86.47,56.72,62.4,86.54,29.75,24.07,5.68,-0.07000000000000739,36.47
1337,20260719,determiner_noun_agreement,86.47,56.72,61.58,86.54,29.75,24.89,4.859999999999999,-0.07000000000000739,36.47
1337,20260720,determiner_noun_agreement,86.47,56.72,61.2,86.54,29.75,25.269999999999996,4.480000000000004,-0.07000000000000739,36.47
1337,20260721,determiner_noun_agreement,86.47,56.72,62.61,86.54,29.75,23.86,5.890000000000001,-0.07000000000000739,36.47
1337,20260722,determiner_noun_agreement,86.47,56.72,65.01,86.54,29.75,21.459999999999994,8.290000000000006,-0.07000000000000739,36.47
1337,20260718,ellipsis,68.16,35.4,33.56,68.47,32.76,34.599999999999994,-1.8399999999999963,-0.3100000000000023,18.159999999999997
1337,20260719,ellipsis,68.16,35.4,34.85,68.47,32.76,33.309999999999995,-0.5499999999999972,-0.3100000000000023,18.159999999999997
1337,20260720,ellipsis,68.16,35.4,34.54,68.47,32.76,33.62,-0.8599999999999994,-0.3100000000000023,18.159999999999997
1337,20260721,ellipsis,68.16,35.4,38.65,68.47,32.76,29.509999999999998,3.25,-0.3100000000000023,18.159999999999997
1337,20260722,ellipsis,68.16,35.4,37.06,68.47,32.76,31.099999999999994,1.6600000000000037,-0.3100000000000023,18.159999999999997
1337,20260718,filler_gap_dependency,69.66,60.2,62.23,67.57,9.459999999999994,7.43,2.029999999999994,2.0900000000000034,19.659999999999997
1337,20260719,filler_gap_dependency,69.66,60.2,62.66,67.57,9.459999999999994,7.0,2.4599999999999937,2.0900000000000034,19.659999999999997
1337,20260720,filler_gap_dependency,69.66,60.2,60.85,67.57,9.459999999999994,8.809999999999995,0.6499999999999986,2.0900000000000034,19.659999999999997
1337,20260721,filler_gap_dependency,69.66,60.2,61.85,67.57,9.459999999999994,7.809999999999995,1.6499999999999986,2.0900000000000034,19.659999999999997
1337,20260722,filler_gap_dependency,69.66,60.2,62.23,67.57,9.459999999999994,7.43,2.029999999999994,2.0900000000000034,19.659999999999997
1337,20260718,irregular_forms,89.54,66.32,75.93,88.18,23.220000000000013,13.61,9.610000000000014,1.3599999999999994,39.540000000000006
1337,20260719,irregular_forms,89.54,66.32,64.06,88.18,23.220000000000013,25.480000000000004,-2.259999999999991,1.3599999999999994,39.540000000000006
1337,20260720,irregular_forms,89.54,66.32,68.58,88.18,23.220000000000013,20.960000000000008,2.260000000000005,1.3599999999999994,39.540000000000006
1337,20260721,irregular_forms,89.54,66.32,69.84,88.18,23.220000000000013,19.700000000000003,3.5200000000000102,1.3599999999999994,39.540000000000006
1337,20260722,irregular_forms,89.54,66.32,77.3,88.18,23.220000000000013,12.240000000000009,10.980000000000004,1.3599999999999994,39.540000000000006
1337,20260718,island_effects,54.39,54.26,55.79,55.45,0.13000000000000256,-1.3999999999999986,1.5300000000000011,-1.0600000000000023,4.390000000000001
1337,20260719,island_effects,54.39,54.26,56.19,55.45,0.13000000000000256,-1.7999999999999972,1.9299999999999997,-1.0600000000000023,4.390000000000001
1337,20260720,island_effects,54.39,54.26,56.27,55.45,0.13000000000000256,-1.8800000000000026,2.010000000000005,-1.0600000000000023,4.390000000000001
1337,20260721,island_effects,54.39,54.26,56.82,55.45,0.13000000000000256,-2.4299999999999997,2.5600000000000023,-1.0600000000000023,4.390000000000001
1337,20260722,island_effects,54.39,54.26,49.92,55.45,0.13000000000000256,4.469999999999999,-4.339999999999996,-1.0600000000000023,4.390000000000001
1337,20260718,npi_licensing,50.57,42.36,44.67,59.67,8.21,5.899999999999999,2.3100000000000023,-9.100000000000001,0.5700000000000003
1337,20260719,npi_licensing,50.57,42.36,42.26,59.67,8.21,8.310000000000002,-0.10000000000000142,-9.100000000000001,0.5700000000000003
1337,20260720,npi_licensing,50.57,42.36,45.57,59.67,8.21,5.0,3.210000000000001,-9.100000000000001,0.5700000000000003
1337,20260721,npi_licensing,50.57,42.36,45.63,59.67,8.21,4.939999999999998,3.270000000000003,-9.100000000000001,0.5700000000000003
1337,20260722,npi_licensing,50.57,42.36,40.73,59.67,8.21,9.840000000000003,-1.6300000000000026,-9.100000000000001,0.5700000000000003
1337,20260718,quantifiers,79.01,52.89,60.64,82.92,26.120000000000005,18.370000000000005,7.75,-3.9099999999999966,29.010000000000005
1337,20260719,quantifiers,79.01,52.89,64.74,82.92,26.120000000000005,14.27000000000001,11.849999999999994,-3.9099999999999966,29.010000000000005
1337,20260720,quantifiers,79.01,52.89,61.35,82.92,26.120000000000005,17.660000000000004,8.46,-3.9099999999999966,29.010000000000005
1337,20260721,quantifiers,79.01,52.89,64.98,82.92,26.120000000000005,14.030000000000001,12.090000000000003,-3.9099999999999966,29.010000000000005
1337,20260722,quantifiers,79.01,52.89,60.35,82.92,26.120000000000005,18.660000000000004,7.460000000000001,-3.9099999999999966,29.010000000000005
1337,20260718,s-selection,78.99,69.58,71.73,77.78,9.409999999999997,7.259999999999991,2.1500000000000057,1.2099999999999937,28.989999999999995
1337,20260719,s-selection,78.99,69.58,70.96,77.78,9.409999999999997,8.030000000000001,1.3799999999999955,1.2099999999999937,28.989999999999995
1337,20260720,s-selection,78.99,69.58,70.85,77.78,9.409999999999997,8.14,1.269999999999996,1.2099999999999937,28.989999999999995
1337,20260721,s-selection,78.99,69.58,70.3,77.78,9.409999999999997,8.689999999999998,0.7199999999999989,1.2099999999999937,28.989999999999995
1337,20260722,s-selection,78.99,69.58,71.4,77.78,9.409999999999997,7.589999999999989,1.8200000000000074,1.2099999999999937,28.989999999999995
1337,20260718,subject_verb_agreement,66.72,50.52,50.27,64.87,16.199999999999996,16.449999999999996,-0.25,1.8499999999999943,16.72
1337,20260719,subject_verb_agreement,66.72,50.52,53.87,64.87,16.199999999999996,12.850000000000001,3.3499999999999943,1.8499999999999943,16.72
1337,20260720,subject_verb_agreement,66.72,50.52,50.62,64.87,16.199999999999996,16.1,0.09999999999999432,1.8499999999999943,16.72
1337,20260721,subject_verb_agreement,66.72,50.52,52.58,64.87,16.199999999999996,14.14,2.059999999999995,1.8499999999999943,16.72
1337,20260722,subject_verb_agreement,66.72,50.52,52.56,64.87,16.199999999999996,14.159999999999997,2.039999999999999,1.8499999999999943,16.72
1338,20260718,anaphor_agreement,87.91,63.3,68.45,87.91,24.61,19.459999999999994,5.150000000000006,0.0,37.91
1338,20260719,anaphor_agreement,87.91,63.3,74.55,87.91,24.61,13.36,11.25,0.0,37.91
1338,20260720,anaphor_agreement,87.91,63.3,62.78,87.91,24.61,25.129999999999995,-0.519999999999996,0.0,37.91
1338,20260721,anaphor_agreement,87.91,63.3,66.09,87.91,24.61,21.819999999999993,2.7900000000000063,0.0,37.91
1338,20260722,anaphor_agreement,87.91,63.3,71.61,87.91,24.61,16.299999999999997,8.310000000000002,0.0,37.91
