metric,seed,sensitivity,n_points,log_exposure_auc_pp,largest_observed_label,largest_observed_words,largest_observed_delta_pp,positive_window_start,positive_window_end,positive_window_points,loss_matched_mean_delta_pp,loss_matched_auc_pp,n_loss_matched,pava_applied,final_outside_baseline_overlap
overall_blimp,1337,all_points,19,0.25254833152535516,8M,8054810,2.019999999999996,20M,50M,4,-0.38223101027476264,-0.38020393689493115,15,1,1
overall_blimp,1337,exclude_1m,18,0.3465756508888301,8M,8054810,2.019999999999996,20M,50M,4,-0.3998617846206422,-0.37491666744532337,13,1,1
overall_blimp,1337,post_warmup,12,0.829276299967681,8M,8054810,2.019999999999996,20M,50M,4,-0.24823710236248875,-0.3266544030401724,8,1,1
overall_blimp,1338,all_points,19,0.42953813410805475,20M,19947683,2.0600000000000023,20M,70M,6,-0.28994120359934167,-0.2073856566245995,15,0,1
overall_blimp,1338,exclude_1m,18,0.48151824661333836,20M,19947683,2.0600000000000023,20M,70M,6,-0.36065722405989437,-0.43628662916350236,13,0,1
overall_blimp,1338,post_warmup,12,0.5524295740007504,20M,19947683,2.0600000000000023,20M,70M,6,-0.7310714746664537,-0.7119062896713736,8,0,1
overall_blimp,1339,all_points,19,0.12881630299492902,7M,7094006,1.2100000000000009,20M,final,9,-0.2808787558554058,-0.34032157594462886,16,0,1
overall_blimp,1339,exclude_1m,18,0.15298072138377397,7M,7094006,1.2100000000000009,20M,final,9,-0.32041599384626807,-0.4841913856447921,14,0,1
overall_blimp,1339,post_warmup,12,0.3536846872170311,20M,19949609,1.1000000000000014,20M,final,9,-0.33202150408657793,-0.5510359053603961,8,0,1
filler_gap_dependency,1337,all_points,19,0.4294853134390867,50M,50064141,3.510000000000005,30M,final,8,-0.1505285520605682,0.03463394936937073,15,1,1
filler_gap_dependency,1337,exclude_1m,18,0.5031680792590388,50M,50064141,3.510000000000005,30M,final,8,-0.17482542239230214,0.0029161613927442148,13,1,1
filler_gap_dependency,1337,post_warmup,12,1.1561472033564504,50M,50064141,3.510000000000005,30M,final,8,0.6424249406719866,0.6801045246879751,8,1,1
filler_gap_dependency,1338,all_points,19,0.9597129150874939,6M,5946081,3.6499999999999986,9M,final,11,0.542567632140793,0.6676984340185922,15,0,1
filler_gap_dependency,1338,exclude_1m,18,1.0207007901394052,6M,5946081,3.6499999999999986,9M,final,11,0.5327629320365764,0.5125989486583556,13,0,1
filler_gap_dependency,1338,post_warmup,12,0.7802523202669047,40M,40094276,2.200000000000003,9M,final,11,0.04871243184232377,0.24244671752856278,8,0,1
filler_gap_dependency,1339,all_points,19,0.5283397198080355,40M,40087224,2.6400000000000006,30M,final,8,0.6945751894857461,0.4153956644511283,16,0,1
filler_gap_dependency,1339,exclude_1m,18,0.5623499239970693,40M,40087224,2.6400000000000006,30M,final,8,0.7448217525618784,0.44719052795853553,14,0,1
filler_gap_dependency,1339,post_warmup,12,0.6336103231729462,40M,40087224,2.6400000000000006,30M,final,8,1.1653784508414153,0.486776697513205,8,0,1
dev_nll,1337,all_points,19,0.07205935554476003,30M,29929275,0.170286000743614,3M,final,17,,,,,
dev_nll,1338,all_points,19,0.04949492715714562,20M,19947683,0.1648449532213787,7M,final,13,,,,,
dev_nll,1339,all_points,19,0.01962491675906249,20M,19949609,0.11641157471214747,20M,final,9,,,,,
